algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_mergesort,1048576,-1,0.120658,0.119434,0.122841,1,1
par_brms,1048576,1,0.135672,0.135393,0.13584,0.889333,0.889333
par_brms,1048576,2,0.0735323,0.0709428,0.0836574,1.64088,0.820439
par_brms,1048576,4,0.0586716,0.0418925,0.0729197,2.05649,0.514123
par_brms,1048576,8,0.0425756,0.0399053,0.0469032,2.83396,0.354245
seq_mergesort,4194304,-1,0.527851,0.527006,0.530742,1,1
par_brms,4194304,1,0.594355,0.593585,0.594978,0.888107,0.888107
par_brms,4194304,2,0.319559,0.312955,0.343294,1.65181,0.825906
par_brms,4194304,4,0.221198,0.218187,0.226712,2.38633,0.596583
par_brms,4194304,8,0.156439,0.14598,0.166576,3.37415,0.421769
seq_mergesort,16777216,-1,2.31621,2.31083,2.32561,1,1
par_brms,16777216,1,2.61093,2.60026,2.63716,0.887119,0.887119
par_brms,16777216,2,1.37588,1.37286,1.37785,1.68344,0.841718
par_brms,16777216,4,0.962615,0.958598,0.970362,2.40616,0.601541
par_brms,16777216,8,0.685172,0.663778,0.704109,3.38048,0.422559
seq_mergesort,67108864,-1,9.90567,9.89577,9.9134,1,1
par_brms,67108864,1,11.3326,11.3127,11.3626,0.874085,0.874085
par_brms,67108864,2,5.9727,5.95555,5.98819,1.65849,0.829246
par_brms,67108864,4,4.16998,4.15844,4.18038,2.37547,0.593867
par_brms,67108864,8,2.91514,2.77641,2.99157,3.39801,0.424751
