algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_kway,1048576,-1,0.195253,0.194473,0.197058,1,1
par_full,1048576,1,0.268849,0.26825,0.270901,0.726257,0.726257
par_full,1048576,2,0.718825,0.695033,0.729407,0.271628,0.135814
par_full,1048576,4,1.21754,1.19441,1.24242,0.160367,0.0400918
par_full,1048576,8,1.19818,1.18397,1.2104,0.162959,0.0203698
seq_kway,4194304,-1,0.945154,0.944272,0.946188,1,1
par_full,4194304,1,1.17714,1.17554,1.18011,0.802927,0.802927
par_full,4194304,2,2.82968,2.81276,2.85318,0.334015,0.167007
par_full,4194304,4,4.8534,4.78878,4.90454,0.194741,0.0486852
par_full,4194304,8,4.87361,4.82496,4.92892,0.193933,0.0242416
seq_kway,16777216,-1,3.39619,3.39224,3.39766,1,1
par_full,16777216,1,4.52418,4.52132,4.53257,0.750675,0.750675
par_full,16777216,2,11.0846,11.0418,11.1785,0.306387,0.153194
par_full,16777216,4,18.8995,18.5388,19.0691,0.179697,0.0449242
par_full,16777216,8,19.1595,19.0194,19.2682,0.177259,0.0221574
seq_kway,67108864,-1,15.5886,15.5834,15.5919,1,1
par_full,67108864,1,19.1432,19.1147,19.1546,0.814311,0.814311
par_full,67108864,2,44.3567,43.9008,44.6949,0.351436,0.175718
par_full,67108864,4,76.0055,75.1131,76.7675,0.205098,0.0512744
par_full,67108864,8,78.1438,75.8541,80.6503,0.199485,0.0249357
