algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_kway,1048576,-1,0.196128,0.195585,0.197171,1,1
par_kway,1048576,1,0.214531,0.214268,0.214792,0.914215,0.914215
par_kway,1048576,2,0.121328,0.118645,0.131569,1.61651,0.808254
par_kway,1048576,4,0.0744857,0.0717602,0.08154,2.63309,0.658272
par_kway,1048576,8,0.0632821,0.0612549,0.0659051,3.09926,0.387407
seq_kway,4194304,-1,0.942869,0.942246,0.943454,1,1
par_kway,4194304,1,1.03496,1.03442,1.03558,0.911022,0.911022
par_kway,4194304,2,0.56867,0.567727,0.570466,1.65802,0.829012
par_kway,4194304,4,0.336846,0.334966,0.34364,2.79911,0.699778
par_kway,4194304,8,0.277402,0.27425,0.280354,3.39892,0.424866
seq_kway,16777216,-1,3.39407,3.39207,3.39741,1,1
par_kway,16777216,1,3.65999,3.65949,3.66103,0.927344,0.927344
par_kway,16777216,2,2.03634,2.03471,2.03782,1.66675,0.833376
par_kway,16777216,4,1.25798,1.2546,1.26598,2.69803,0.674507
par_kway,16777216,8,1.02027,1.00718,1.02777,3.32665,0.415831
seq_kway,67108864,-1,15.5984,15.5886,15.6029,1,1
par_kway,67108864,1,16.8022,16.7822,16.8135,0.928358,0.928358
par_kway,67108864,2,9.21981,9.21587,9.226,1.69184,0.84592
par_kway,67108864,4,5.5398,5.53476,5.54732,2.8157,0.703926
par_kway,67108864,8,4.52068,4.48336,4.61227,3.45046,0.431308
