algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_mergesort,1048576,-1,0.120403,0.119527,0.122831,1,1
par_mergesort,1048576,1,0.132698,0.132423,0.132949,0.907344,0.907344
par_mergesort,1048576,2,0.0897427,0.0882398,0.0937611,1.34165,0.670823
par_mergesort,1048576,4,0.0786391,0.0734357,0.0844282,1.53108,0.382771
par_mergesort,1048576,8,0.0843148,0.0814397,0.0879755,1.42802,0.178502
seq_mergesort,4194304,-1,0.52727,0.525813,0.530495,1,1
par_mergesort,4194304,1,0.57759,0.576502,0.578377,0.912879,0.912879
par_mergesort,4194304,2,0.370059,0.368531,0.37216,1.42482,0.712412
par_mergesort,4194304,4,0.333763,0.313487,0.344105,1.57977,0.394943
par_mergesort,4194304,8,0.343752,0.324516,0.356748,1.53386,0.191733
seq_mergesort,16777216,-1,2.30407,2.29947,2.30769,1,1
par_mergesort,16777216,1,2.48765,2.44562,2.49911,0.926204,0.926204
par_mergesort,16777216,2,1.57273,1.5652,1.59337,1.46501,0.732505
par_mergesort,16777216,4,1.35126,1.2946,1.41064,1.70513,0.426282
par_mergesort,16777216,8,1.34161,1.31231,1.3691,1.7174,0.214675
seq_mergesort,67108864,-1,9.9037,9.89601,9.91459,1,1
par_mergesort,67108864,1,10.5887,10.5504,10.6419,0.935304,0.935304
par_mergesort,67108864,2,6.60817,6.58029,6.6837,1.49871,0.749353
par_mergesort,67108864,4,5.81484,5.50963,5.90248,1.70318,0.425794
par_mergesort,67108864,8,5.29419,5.25838,5.32563,1.87067,0.233834
