algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_kway,1048576,-1,0.375479,0.353628,0.415105,1,1
par_full,1048576,2,0.627989,0.553887,0.711136,0.597907,0.298954
par_full,1048576,4,1.50641,1.20781,1.68541,0.249255,0.0623136
par_full,1048576,8,1.37193,1.33164,1.41973,0.273686,0.0342108
seq_kway,4194304,-1,1.08399,1.06147,1.12424,1,1
par_full,4194304,2,1.76547,1.65515,1.90442,0.613995,0.306997
par_full,4194304,4,4.3706,4.17478,4.60382,0.248019,0.0620048
par_full,4194304,8,5.92877,5.85084,6.02607,0.182836,0.0228545
seq_kway,16777216,-1,3.94737,3.88513,4.05806,1,1
par_full,16777216,2,7.75192,6.9841,8.23907,0.509211,0.254606
par_full,16777216,4,17.6016,17.3244,17.9315,0.224262,0.0560654
par_full,16777216,8,24.1516,24.0023,24.247,0.163441,0.0204301
seq_kway,67108864,-1,18.4086,18.1313,18.5686,1,1
par_full,67108864,2,33.6824,32.4331,34.2752,0.546535,0.273267
par_full,67108864,4,69.1651,64.89,71.386,0.266154,0.0665385
par_full,67108864,8,100.38,99.2858,100.814,0.183389,0.0229236
