algorithm,n,threads,time_avg,time_min,time_max,speedup,efficiency
seq_kway,1048576,-1,0.368664,0.356908,0.382555,1,1
par_kway,1048576,1,0.412666,0.397501,0.43293,0.893373,0.893373
par_kway,1048576,2,0.216078,0.207665,0.226326,1.70616,0.85308
par_kway,1048576,4,0.129705,0.125129,0.139575,2.84234,0.710585
par_kway,1048576,8,0.142627,0.108519,0.211066,2.58481,0.323101
seq_kway,4194304,-1,1.4237,1.0522,1.77928,1,1
par_kway,4194304,1,1.15552,1.12481,1.17636,1.23208,1.23208
par_kway,4194304,2,0.629042,0.62361,0.640184,2.26328,1.13164
par_kway,4194304,4,0.447807,0.431115,0.473578,3.17927,0.794817
par_kway,4194304,8,0.400317,0.366464,0.452329,3.55643,0.444553
seq_kway,16777216,-1,3.90321,3.86739,3.96379,1,1
par_kway,16777216,1,4.20952,4.14694,4.25776,0.927234,0.927234
par_kway,16777216,2,2.35114,2.30759,2.46542,1.66013,0.830066
par_kway,16777216,4,1.64268,1.56881,1.69853,2.37612,0.594029
par_kway,16777216,8,1.43278,1.38383,1.5003,2.72421,0.340526
seq_kway,67108864,-1,18.0667,17.8054,18.2397,1,1
par_kway,67108864,1,19.1381,18.8923,19.2511,0.944017,0.944017
par_kway,67108864,2,11.3987,11.3228,11.4879,1.58498,0.792489
par_kway,67108864,4,7.74147,7.64771,7.85589,2.33375,0.583439
par_kway,67108864,8,6.77508,6.68088,6.87715,2.66664,0.33333
